gamma,n,reward_mean,reward_ci95,spent_mean,spent_ci95,tstop_mean,tstop_ci95
0.0,10,181.7,9.992545647865516,0.9999365594216755,2.4303313272300486e-05,3647.6,4.865829419149945
0.1,10,192.3,6.200218397060766,0.9999476989993028,3.0462590446771175e-05,3683.0,7.4265547407548445
0.3,10,191.4,12.748615443858949,0.9999419409539019,2.341602388643652e-05,3758.5,6.7633917536447
1.0,10,200.5,10.622508103052638,0.9999455988781791,2.6852740175558136e-05,4057.0,7.318582465769269
2.0,10,233.8,9.784102143321624,0.9999577033170631,2.7020516132761878e-05,4583.2,11.753545932827079
3.0,10,253.5,8.566048398900774,0.9607062185040542,0.0015523014021271153,5000.0,0.0
5.0,10,265.5,11.377198798253227,0.8106520599884647,0.0016222030353982473,5000.0,0.0
10.0,10,290.3,7.555966137998988,0.7012838551419122,0.0004130512248681099,5000.0,0.0
