gamma,n,reward_mean,reward_ci95,spent_mean,spent_ci95,tstop_mean,tstop_ci95
0.0,10,193.8,9.441024981885473,0.99996259648289,2.638311596428338e-05,3654.1,10.434570291644123
0.1,10,190.4,10.46585598147582,0.9999293385267258,3.262028243890994e-05,3691.5,4.675732870336539
0.3,10,195.4,9.455468169802215,0.999949449555363,2.514416275895852e-05,3767.7,6.282211328440879
1.0,10,212.6,9.751503901582897,0.9999634212468351,2.654415605647355e-05,4061.6,5.1275562356759306
2.0,10,240.2,11.768049922998962,0.9999299478488309,3.507149443649981e-05,4605.4,13.917119023172797
3.0,10,258.8,12.62131435742488,0.9544475275763442,0.0024035173728821947,5000.0,0.0
5.0,10,270.2,10.774245025168499,0.8040824314287731,0.0012039043342818305,5000.0,0.0
10.0,10,277.4,11.124253525792286,0.6968056076134954,0.0006308093639366536,5000.0,0.0
