rho,method,reward_mean,reward_ci,spent_mean,spent_ci,tau_mean,tau_ci
0.4,PD-LinUCB,235.5,11.540943614651832,0.9998961643591523,5.43060778593338e-05,4001.2,1.8408764813272618
0.4,CostNormUCB[sub] ($\gamma^\star=10.0$),222.7,11.199899270615633,0.9998734223291276,5.482278747613895e-05,4026.0,4.184820916215132
0.55,PD-LinUCB,273.0,18.309659033675104,0.9995132017818363,0.00022292523933714723,5000.0,0.0
0.55,CostNormUCB[sub] ($\gamma^\star=5.0$),260.2,10.337945483271369,0.9999063722621312,3.25505742809398e-05,4823.7,8.650594683643893
0.7,PD-LinUCB,258.7,6.95242844106946,0.9998175363949366,0.00013135833458385152,4999.9,0.22621571628540993
0.7,CostNormUCB[sub] ($\gamma^\star=2.0$),237.7,13.489109940882637,0.9999408727254187,2.907928322981153e-05,4579.7,12.219604486618206
0.85,PD-LinUCB,253.9,9.42686125184052,0.9999143247821751,4.8570118376167413e-05,4999.4,0.6032419100944264
0.85,CostNormUCB[sub] ($\gamma^\star=1.0$),262.2,6.580592332703057,0.9999726321031066,2.0748841201021748e-05,4966.0,11.410883215132495
