rho,seed,context_split,gamma,reward,spent_ratio,tau
0.4,10123,train,3.0,136.0,0.9998813457638025,2829
0.4,10124,train,3.0,139.0,0.9998779409378767,2812
0.4,10125,train,3.0,141.0,0.9999954915493727,2797
0.4,10126,train,3.0,140.0,0.9999152025133371,2803
0.4,10127,train,3.0,135.0,0.9999144787192344,2801
0.4,10128,train,3.0,146.0,0.9999103462547064,2819
0.4,10129,train,3.0,132.0,0.9999773708134889,2793
0.4,10130,train,3.0,152.0,0.9999854324460029,2796
0.4,10131,train,3.0,133.0,0.9999211846888065,2808
0.4,10132,train,3.0,143.0,0.9998492367714643,2813
0.4,10123,train,5.0,183.0,0.9998455717712641,3356
0.4,10124,train,5.0,180.0,0.9997977744042873,3359
0.4,10125,train,5.0,184.0,0.9998739226311445,3348
0.4,10126,train,5.0,193.0,0.9997983404248952,3364
0.4,10127,train,5.0,185.0,0.999989694416523,3364
0.4,10128,train,5.0,162.0,0.9999904641211033,3376
0.4,10129,train,5.0,146.0,0.9998464151769877,3368
0.4,10130,train,5.0,148.0,0.9999043379575014,3376
0.4,10131,train,5.0,189.0,0.9997997383177281,3346
0.4,10132,train,5.0,181.0,0.9999483888149261,3382
0.4,10123,train,10.0,223.0,0.9998802480995655,4035
0.4,10124,train,10.0,236.0,0.9997911393195391,4022
0.4,10125,train,10.0,267.0,0.9998269642144442,4011
0.4,10126,train,10.0,249.0,0.9997955229133367,4023
0.4,10127,train,10.0,257.0,0.9999684364944696,4029
0.4,10128,train,10.0,221.0,0.9999254016429185,4026
0.4,10129,train,10.0,236.0,0.9998601094186306,4031
0.4,10130,train,10.0,247.0,0.9999036005288362,4019
0.4,10131,train,10.0,221.0,0.9998096643835306,4027
0.4,10132,train,10.0,245.0,0.9998344822824001,4029
0.55,10123,train,0.0,147.0,0.9999655531536449,2866
0.55,10124,train,0.0,150.0,0.9999472203363072,2865
0.55,10125,train,0.0,161.0,0.9998605848442425,2853
0.55,10126,train,0.0,151.0,0.9999657139453021,2859
0.55,10127,train,0.0,157.0,0.9999788136157123,2860
